Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Automation Results,Actual Result Iteration 1,"Status
 Iteration 1","Actual Result Iteration 2
(to be updated only if test case failed in Iteration 1) ","Status
 Iteration 2
(to be updated only if test case failed in Iteration 1)",Comments,Req: Reference
TC_Add to Cart_04,Verification of display of product details in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate the display of details of the product.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart",1.Detils of product in Cart,"1. Product Name,brand and image of product should be displayed in the cart . 2.Product price should be displayed in the cart. 3. Product Seller name should be displayed in the cart.",Yes,,,,,,
TC_Add to Cart_05,Verification of display of product details in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate the display of Quantity of the product.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart",1.Detils of product in Cart,1. Number of product added to cart should be displayed.,Yes,,,,,,
TC_Add to Cart_06,Verification of display of product details in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate the display of stock status.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart",1.Product added stock status should be displayed.,1. if Product is in stock the stock status should be displayed as stock available. 2. if Product is not in stock the stock status should be displayed as Out of stock.,Yes,,,,,,
TC_Add to Cart_07,Verification of Total and Subtotal details in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate the increment of subtotal after adding product to the cart,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart",1.Vaild total increment.,1. Display of Subtotal 2. The increment of subtotal after adding product to the cart,Yes,,,,,,
TC_Add to Cart_08,Verification of Total and Subtotal details in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate the total amount displayed to user should include the taxes and shipping charges as per location.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart",1.Vaild total increment.,"1.Tax should be displayed and added to total
 2. Shipping charge as per the loction should be added to total 3.Total amount should increment
 4. Display of Total.",Yes,,,,,,
TC_Add to Cart_09,Verification of product removing from the cart.,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate delete of the product after clicking delete button in cart.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1.Delete button In the cart
 2. After clicking delete product should 
 delete","1. Display of ""delete"" button
 2. Clicking on delete button the product should be removed from the cart",Yes,,,,,,
TC_Add to Cart_10,Verification of product removing from the cart.,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate save for later list after clicking save for later button.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1. ""Save for later""button In the cart
 2. After clicking ""save for later "" the product is saved in save for later list and removed from cart","1. Display of ""Save for later"" button
 2. Clicking on ""Save for later"" button the product should be removed from the cart and saved in save for later list",Yes,,,,,,
TC_Add to Cart_11,Verification of product removing from the cart.,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate decrement of subtotal after deleting the product.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1. ""Wishlist""button In the cart
 2. After clicking ""Wishlist "" the product is saved in save for later list and removed from cart","1. Display of ""Wishlist"" button
 2. Clicking on""Wishlist"" button the product should be removed from the cart and saved in save for later list",Yes,,,,,,
TC_Add to Cart_12,Verification of Proceed to Buy button in cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart","To validate ""Proceed to Buy "" button","1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1."" Proceed to Buy "" button","1. Display of Proceed to Buy. 2.Clicking "" Procced to Buy"" the page should navigate to address or payment page",Yes,,,,,,
TC_Add to Cart_13,Verification of Proceed to Buy button in cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart","To validate after clicking Proceed to Buy ,it should proceed to select delivery address page.","1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1."" Proceed to Buy "" button. 2.Navigation of page","1.Clicking "" Procced to Buy"" the page should navigate to address page if address is not selected before. 2.Clicking "" Procced to Buy"" the page should navigate to address page if they are mutiple delivert address.",No,,,,,,
TC_Add to Cart_14,Verification of Display of Suggestions below the added product in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate if the address is selected before the page should proceed to payment.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1."" Proceed to Buy "" button. 2.Navigation of page","1.Clicking "" Procced to Buy"" the page should navigate to payment page if address is selected before.",No,,,,,,
TC_Add to Cart_15,Verification of Display of Suggestions below the added product in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",2. To validate the Display of Buy it again .,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1.""Buy it again"" list in suggestion.","1.Display of ""Buy it again"" list in suggestion below cart products",Yes,,,,,,
TC_Add to Cart_16,Verification of Display of Suggestions below the added product in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",3.To validate the Display of Top pick for you.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1.""Top pick for you ""list in suggestion.","1.Display of ""Top pick for you"" list in suggestion below cart products",Yes,,,,,,
TC_Add to Cart_17,Verification of Display of Suggestions below the added product in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate the Display of more item to explore.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1.""More item to explore""list in suggestion.","1.Display of ""More item to explore"" list in suggestion below cart products",Yes,,,,,,
TC_Add to Cart_18,Verification of Display of Suggestions below the added product in the cart,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate the Display of more item to explore.,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart","1.""Save for later""list in suggestion.","1.Display of ""Save for later"" list in suggestion below cart products",Yes,,,,,,
TC_Add to Cart_19,Verification of Cart product after user logout and login again,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate the added product in cart should remain same even after user logout and login again,"1. Login to the account 
 2. Search the requried product. 3.Select the add to cart button to add the product to cart",1. Cart products,1. the added product in cart should remain same even after user logout and login again,No,,,,,,
,,,,,,,,,,,,,
TC_Address_01,Verification of Proceed to Buy option,"Customer has already registerd on website.
 He enters valid user name and password.
 Adds products to cart.
 Selected payment option.",To verify if proceed to buy button is visible and at proper loaction and of proper size.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'","1.browser=edge
 2.url=""https//www.amazon.com""
",Customer should see 'proceed to buy' button at its proper location.,No,,,,,,
TC_Address_02,Verificaton of Proceed to Buy option,"Customer has already registerd on website.
 He enters valid user name and password.
 Selected payment option.
 Adds products to cart.",To verify if proceed to buy button directs customer to address page,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'","1.browser=edge
 2.url=""https//www.amazon.com""
",Customer on clicking 'proceed to buy' button should proceed him to address page.,Yes,,,,,,
TC_Address_03,Verification of Add Address field,"Customer has already registerd on website.
 He enters valid user name and password.
 Adds products to cart.
 Selected payment option.
 Proceeds to buy.",To verify if 'add address' button is visible and at proper location and of proper size.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'
 5. Click on 'add address'","1.browser=edge
 2.url=""https//www.amazon.com""
",Customer should be able to view that 'add address' button is at its proper location.,No,,,,,,
TC_Address_04,Verification of Add Address field,"Customer has already registerd on website.
 He enters valid user name and password.
 Adds products to cart.
 Selected payment option.
 Proceeds to buy.",To verify if 'add address' button directs customer to the page where he can fill the address.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'
 5. Click on 'add address'","1.browser=edge
 2.url=""https//www.amazon.com""
",Customer on clicking 'add address' button takes him to the page where he should be able to add address.,Yes,,,,,,
TC_Address_05,Verification of Edit address field,"Customer has already registerd on website.
 He enters valid user name and password.
 Adds products to cart.
 Selected payment option.
 Proceeds to buy.",To verify if 'edit address' button is visible and at proper location and of proper size.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'
 5. Click on 'edit address'","1.browser=edge
 2.url=""https//www.amazon.com""
",Customer should be able to view that 'edit address' button is at its proper location.,No,,,,,,
TC_Address_06,Verification of Edit address field,"Customer has already registerd on website.
 He enters valid user name and password.
 Adds products to cart.
 Selected payment option.
 Proceeds to buy.",To verify if 'edit address' button directs customer to the page where he can edit the already filled address.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'
 5. Click on 'edit address'","1.browser=edge
 2.url=""https//www.amazon.com""
",Customer on clicking 'edit address' button should proceed him to the page where he can edit address.,Yes,,,,,,
TC_Address_07,Verification of Delete address functionality,"Customer has already registerd on website.
 He enters valid user name and password.
 Adds products to cart.
 Selected payment option.
 Proceeds to buy.",To verify if 'edit address' button is visible and at proper location and of proper size.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'
 5. Click on 'delete address'","1.browser=edge
 2.url=""https//www.amazon.com""
",Customer should be able to view that 'delete address' button is at its proper location.,No,,,,,,
TC_Address_08,Verification of Delete address functionality,"Customer has already registerd on website.
 He enters valid user name and password.
 Adds products to cart.Selected payment option.
 Proceeds to buy.",To verify if 'delete address' button deletes the address of saved address of thecustomer.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'
 5. Click on 'edit address'","1.browser=edge
 2.url=""https//www.amazon.com""
",Customer on clicking 'delete address' button should take him to the page where he can delete address.,Yes,,,,,,
TC_Address_09,Verification of Gift Card,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.
 Added the Address",To verify if the gift card option is clickable and accepts numbers only.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'
 5. Click on 'add coupons'","1.browser=edge
 2.url=""https//www.amazon.com""
 3.. Data : 123654",Customer should be able to click inside text box and can add gift cards.,Yes,,,,,,
TC_Address_10,Verification of Gift Card,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Proceed to buy.
 Added the Address",To verify if gift card coupon is validated from server.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'
 5. Click on 'add coupons'","1.browser=edge
 2.url=""https//www.amazon.com""
. Data : 123654",Server should validate the gift card coupon correctly.,Yes,,,,,,
TC_Address_11,Verification of Name field of address section,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify if name field accepts only alphabet characters.,"1. Login as customer.
 2. Search the product
 3. Add a product to cart
 4. Click on 'proceed to buy'
 5. Click on 'add address'
 5. Click in 'Name' textbox","1.browser=edge
 2.url=""https//www.amazon.com""
 .3. Data : ajdgvd",Text box should accept only alphabet characters.,Yes,,,,,,
TC_Address_12,Verification of Name field of address section,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify if name field does not accepts any numeric and special symbols.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Name' textbox","""1.browser=edge
 2.url=""""https//www.amazon.com""""
 3. Data : 456#%$",Text box should not accept any numeric or special symbols.,Yes,,,,,,
TC_Address_13,Verification of phone number field,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.","To verify invalid length of input, less than 10 in text box of phone number field.","1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Phone number' textbox","1.browser=edge
 2.url=""https//www.amazon.com""
 3 Data : 456789",Phone number should invalidate phone number less than ten numbers.,Yes,,,,,,
TC_Address_14,Verification of phone number field,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the invalid length of input larger than 10 in text box of number field.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Phone number' textbox","1.browser=edge
2.url=""""https//www.amazon.com""""
3. Data : 123E+10",Phone number should invalidate phone number greater than ten numbers.,Yes,,,,,,
TC_Address_15,Verification of phone number field,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the mobile number field by entering only 10 blank space .,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Phone number' textbox","""1.browser=edge
 2.url=""""https//www.amazon.com""""
 3. Data : ""            """,Phone number should invalidate phone number with ten blank spaces.,Yes,,,,,,
TC_Address_16,Verification of phone number field,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the mobile number field by entering the ten digits.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Phone number' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data : 9.235E+10",Phone number textbox should validate ten digits.,Yes,,,,,,
TC_Address_17,Verification of Pin code.,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the pin code field by entering the alphabet .,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Pin Code' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data : 9.235E+10",Pin code textbox should not accept any alphabet character.,Yes,,,,,,
TC_Address_18,Verification of Pin code.,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the pin code field by entering the special char.(eg-@#!#@!),"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Pin Code' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""
3. Data : 45%^#%8",Pin code textbox should not accept any special character.,Yes,,,,,,
TC_Address_19,Verification of Pin code.,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the field without entering any value.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Pin Code' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""
3. Data : ""        """,Pin code textbox should not accept any blanks.,Yes,,,,,,
TC_Address_20,Verification of Pin code.,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the field by entering the less than six digit pin code,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Pin Code' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data : 9156",Pin code textbox should not accept any digits less than six number.,Yes,,,,,,
TC_Address_21,Verification of Pin code.,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the field by entering the more than six digit pic code,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Pin Code' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com"""" 
3 Data : 9646453135516",Pin code textbox should not accept any digits more six number.,Yes,,,,,,
TC_Address_22,"Verification of Flat, House no., Building, Company, Apartment","Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the field by entering alpha numeric characters more than 60 in text box,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Pin Code' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data : sdflksddfjsjfojsdffjsoifjsdfsdfjmdffmsfmofdsfmsdf",Textbox should not accept any alpha numerics characters more than sixty length.,Yes,,,,,,
TC_Address_23,"Verification of Flat, House no., Building, Company, Apartment","Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the text box by entering 60 blanks in .,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Pin Code' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data : ""       """,Textbox should not accept the sixty blanks.,Yes,,,,,,
TC_Address_24,"Verification of Flat, House no., Building, Company, Apartment","Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the text box by not entering anything.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Pin Code' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3 Data :  ""    """,Textbox should not accept the text box to be left empty.,Yes,,,,,,
TC_Address_25,"Verification of Area, Colony, Street, Sector, Village text box.","Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the text box by entering alpha numeric characters more than 60.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Area, Colony, Street,' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data :  lsdlfkmlsdmflsmfkmsfsdmdfosddf","Area, Colony, Street, Sector, Village text box should not accept any alpha numerics characters more than sixty length.",Yes,,,,,,
TC_Address_26,"Verification of Area, Colony, Street, Sector, Village text box.","Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the text box by entering 60 blanks.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Area, Colony, Street,' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data :  ""    ""","Area, Colony, Street, Sector, Village text box should not accept the sixty blanks.",Yes,,,,,,
TC_Address_27,"Verification of Area, Colony, Street, Sector, Village text box.","Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify the text box by not entering anything.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click in 'Area, Colony, Street,' textbox","""1.browser=edge 
2.url=""""https//www.amazon.com"""" 
3. Data :  """"","Area, Colony, Street, Sector, Village text box should not accept the text box to be left empty.",Yes,,,,,,
TC_Address_28,Verification of drop down list named State/Provience,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify that the drop down list should have proper title.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click on 'State / Province' drop down button","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data :  Title",The title of the drop-down should be correct.,Yes,,,,,,
TC_Address_29,Verification of drop down list named State/Provience,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify if selected item of the drop-down list is highlighted.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click on 'State / Province' drop down button","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data :  Item",The selected item of the drop-down should be highligted.,No,,,,,,
TC_Address_30,Verification of drop down list named State/Provience,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.","To Verify when keyboard alphabets are pressed, items started with respective alphabet should be display in drop down list.","1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click on 'State / Province' drop down button","""1.browser=edge 
2.url=""""https//www.amazon.com"""" 
 ","On pressing keyboard alphbet, items starting with alphabhet should be displayed.",No,,,,,,
TC_Address_31,"Verification of drop down list named Address Type(ex, Home, Office)","Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify if elements of dropdown list are selectable,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click on 'Address Type' drop down button","""1.browser=edge 
2.url=""""https//www.amazon.com"""" 
 ",The elements of dropdown list should be selectable on Clicking.,Yes,,,,,,
TC_Address_32,"Verification of drop down list named Address Type(ex, Home, Office)","Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To Verify if Drop down button has proper title.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click on 'Address Type' drop down button","""1.browser=edge 
2.url=""""https//www.amazon.com"""" 
",The Drop down button should have proper title.,Yes,,,,,,
TC_Address_33,Verification of 'Deliver to this address' button,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To Verify if it is clickable,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click on 'Deliver to this address' drop down button","""1.browser=edge 
2.url=""""https//www.amazon.com"""" 
",The deliver to this address button should beclickable.,Yes,,,,,,
TC_Address_34,Verification of 'Deliver to this address' button,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify if on clicking chooses address as delivery address.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click on 'Deliver to this address' drop down button","""1.browser=edge 
2.url=""""https//www.amazon.com""""
","On clicking deliver to this address, that address should be selected as delivery address.",Yes,,,,,,
TC_Address_35,Verification of availability of 'search for a Pickup location' near you,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify if this optioin allows the location to be searched by pin code and address.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click on 'Text box' button in pick up section","""1.browser=edge 
2.url=""""https//www.amazon.com""""
3. Data : 445125 Location",It should allow the location to be searched by pin code and address.,Yes,,,,,,
TC_Address_36,Verification of availability of 'search for a Pickup location' near you,"Customer had already registerd on website.
 He entered valid user name and password.
 Added products to cart.
 Selected payment option.
 Proceed to buy.",To verify if on clicking search button it shows search results.,"1. Login as customer.
 2. Search and add the product product to cart
 3. Click on 'proceed to buy'
 4. Click on 'add address'
 5. Click on 'Search' button in pick up section","""1.browser=edge 
2.url=""""https//www.amazon.com""""
",It should show the serach results when search button was clicked,Yes,,,,,,
,,,,,,,,,,,,,
TC_Procedd_to_buy_01,Verification of Payments option.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",To validate if the payments option is loaded properly.,"1. Select the preferred delivery option
 2. Select the preferred payment method among the options.","1. Valid delivery address.
 2. Multiple payments options are visible.","1. Payment by using ""Amazon Pay"" option is available to the user.
 2. Payment by using ""Debit Card"" option is available to the user.
 3. Payment by using ""Credit Card"" option is available to the user.
 4. Payment by using ""Net Banking"" option is available to the user.
 5. Payment by using ""UPI"" option is available to the user.
 6. Payment by using ""Pay at Delivery"" option is available to the user.
 7. Payment by using ""EMI"" option is available to the user.",Yes,,,,,,
TC_Procedd_to_buy_02,Verification of Payments option.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",Verification of payment option.,"1. Select the preferred delivery option
 2. Select the Amazon Pay option.","1. Valid delivery address.
 2. User has Amazon Pay account.","1. User has the Amazon Pay account.
 2. User has the amount in their Amazon Pay account.
 3. User don't have any Amazon Pay account.
 4. User creates a new account.
 5. User selects any other option.",Yes,,,,,,
TC_Procedd_to_buy_03,Verification of Payments option.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",Verification of payment option.,"1. Select the preferred delivery option
 2. Select the Debit Card option.","1. Valid delivery address.
 2. User has Debit Card account.","1. User has a Debit Card linked with the Amazon account.
 2. User selects the Debit Card.
 3. User enters the CVV number.
 4. If user is not having any Debit Card linked with the account, then user can add a Debit Card.
 5. User selects any other option.",Yes,,,,,,
TC_Procedd_to_buy_04,Verification of Payments option.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",Verification of payment option.,"1. Select the preferred delivery option
 2. Select the Credit Card option.","1. Valid delivery address.
 2. User has Credit Card account.","1. User has a Credit Card linked with the Amazon account.
 2. User selects the Credit Card.
 3. User enters the CVV number.
 4. If user is not having any Credit Card linked with the account, then user can add a Credit Card.
 5. User selects any other option.",Yes,,,,,,
TC_Procedd_to_buy_05,Verification of Payments option.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",Verification of payment option.,"1. Select the preferred delivery option
 2. Select the Net Banking option.","1. Valid delivery address.
 2. User has Net Banking account.","1. User has selected the Net Banking option.
 2. User has selected the preferred Bank.
 3. User has entered the valid Net Banking credentials.
 4. User selects any other option.",Yes,,,,,,
TC_Procedd_to_buy_06,Verification of Payments option.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",Verification of payment option.,"1. Select the preferred delivery option
 2. Select the UPI option.","1. Valid delivery address.
 2. User has UPI account.","1. User has selected the UPI option.
 2. User has entered the valid UPI ID.
 3. User selects any other option.",Yes,,,,,,
TC_Procedd_to_buy_07,Verification of Payments option.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",Verification of payment option.,"1. Select the preferred delivery option
 2. Select the Pay at Delivery option.","1. Valid delivery address.
 2. User has Pay at Delivery account.","1. User has selected the Pay at Delivery option.
 2. User can pay by cash or any other method when order gets delivered.
 3. User selects any other option.",Yes,,,,,,
TC_Procedd_to_buy_08,Verification of Payments option.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",Verification of payment option.,"1. Select the preferred delivery option
 2. Select the EMI option.","1. Valid delivery address.
 2. User has EMI account.","1. User has selected the EMI option.
 2. User can pay by any other method in installments.
 3. User selects any other option.",Yes,,,,,,
TC_Procedd_to_buy_09,Verification of details.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",Validating details.,"1. Select the preferred delivery option.
 2. Select the paymeny option.
 3. Verify the details.","1. Valid delivery address.
 2. Payment option is selected.
 3. Details are visible to user.","1. User has selected the preferred payment option.
 2. User is able to fill the details.",Yes,,,,,,
TC_Procedd_to_buy_10,Verification of details.,"1. Delivery option should be selected.
 2. Payments option should be visible to the user.",Validating details.,"1. Select the preferred delivery option.
 2. Select the paymeny option.
 3. Verify the details.","1. Valid delivery address.
 2. Payment option is selected.
 3. Details are visible to user.","1. User has selected the preferred payment option.
 2. Details filled by the user is valid",Yes,,,,,,
TC_Procedd_to_buy_11,Verification of Payment.,1. Payment option is selected.,Payment option is selected.,"1. To verify that the user has selected the payment option.
 2. To verify that the selected option is valid.",1. Payment option is selected.,"1. User has selected the preferred payment option.
 2. Selected payment option is valid.
 3. An error message is displayed if payment method is invalid.",Yes,,,,,,
TC_Procedd_to_buy_12,Verification of Payment.,1. Payment option is selected.,Payment option is selected.,"1. To verify that the user has selected the payment option.
 2. To verify that the selected option is valid.",1. Payment option is selected.,"1. User has selected the preferred payment option.
 2. Selected payment option is valid.
 3. An OTP has been sent to the registered mobile number of the user.",Yes,,,,,,
TC_Procedd_to_buy_13,Verification of OTP.,"1. Payment option is selected.
 2. OTP is sent to the user.",1. To verify if the user has received an OTP.,"1. To verify if the user has received an OTP.
 2. To verify that the user is able to enter the OTP.",1. OTP received by the user.,"1. Selected payment option is valid.
 2. An OTP has been sent to the registered mobile number of the user.
 3. User has received the OTP.",No,,,,,,
